First name,Last name,Email,Custom report ID,Screen name,Participant ID,"Imagine you will open a new shop, tell us (1) what product/services do you want to sell/provide?  and (2) How would you use the SoLoMo method to promote your business?",Received at (CDT),Response method
,,,,guest992,433796,"1.If I were to open a new shop, I would sell organic and eco-friendly home products like organic cotton bedding and natural cleaning supplies.
 
 2.Create active profiles on Instagram and Facebook. Share appealing content, respond to followers, and run contests",07/29/24 09:43 PM,Web
,,,,Zeyang Cai,485132,"（1）I want to sell electronic products, such as tablets, mobile phones, computers, etc.(2)Advertise on social platforms and entertainment platforms with a large user base, and let the platform use big data systems to recommend this advertisement to relevant people. Advertise product benefits and store services.",07/29/24 09:46 PM,Web
,,,,zhiyang,786113,"For me, I actually want to see a camera shop and a photography club. In this way, I think, first of all, I will promote my store on local social platforms. Secondly, I will give promotions for my customers to provide discounts. Then, provide the location of my store on mobile media. So that people are connected to people, people to mobile media",07/29/24 09:48 PM,Web
,,,,guest166,897532,"I want to be a mineral water supplier in Hong Kong, sourcing products from the mainland and lowering prices. I will also advertise on Douyin and Xiaohongshu to increase my brand awareness and crush my competitors.",07/29/24 09:45 PM,Web
,,,,shaozhaohan,510448,"I'll open a comic book store.I will promote my products on social media and let more people know about the products in my store by Posting videos.
At the same time, the comics are evaluated to attract more buyers to buy comics in our store",07/29/24 09:46 PM,Web
,,,,guest670,921286,"I wanna to sell food like breakfast.If I get the chance,I will post the video on the platforms to promote our shop",07/29/24 09:42 PM,Web
,,,,ZENGFEIYU,162063,i would to sell sths like,07/29/24 09:44 PM,Web
,,,,guest707,85105,I will sell electric products like mobile phone or smart watch..    I will invite sb to experience products offline for free and write their true feelings about the products,07/29/24 09:44 PM,Web
,,,,guest574,181086,卖咖啡 ，可以在美团和抖音上注册我的咖啡店，还可以在上面推出一些优惠价购买招牌产品.,07/29/24 09:44 PM,Web
,,,,guest121,963250,daily necessities，bread，milk，water，and so on.(2)online shop，small routine，take out order,07/29/24 09:47 PM,Web
,,,,周煜,1006902,"make-up product. Leverage social media platforms like Xiaohongshu, meituan, and Tiktok to create awareness about my shop and the products.Encourage customers to try my product.",07/29/24 09:52 PM,Web
,,,,guest409,428364,"I would like to open a shop that selling college-level courses. I'll cooperate with social platform to obtain the information of the potential clients, and then use the appealing advertisements to appeal these people to download my apps, so that I can provide my products to them.",07/29/24 09:46 PM,Web
,,,,guest521,763087,beauty products .Customized Experience: Use customer data to offer personalized product recommendations and promotions.,07/29/24 09:49 PM,Web
,,,,guest977,267795,provide recycle and sell old things        Upload to the Internet,07/29/24 09:45 PM,Web
,,,,you,527386,"I want to sell computer and mobile phone.I would put up ads, hand out flyers，online to offline.",07/29/24 09:46 PM,Web
